"candidato_id","candidato_nombre","edad","sexo","locus","a1","a2"
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D3S1358",19,12
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","VWA",14,17
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D16S539",12,14
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D2S1338",19,22
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D8S1179",11,11
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D21S11",25,29
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D18S51",14,13
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D19S433",14,14
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","TH01",5,5
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","FGA",27,28
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","CSF1PO",9,12
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D13S317",10,15
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D7S820",9,12
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D5S818",9,9
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","TPOX",6,7
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D1S1656",17,18
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D2S441",12,16
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D10S1248",9,17
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D12S391",23,17
"C1_ESCOBAR","Julián Escobar Ruiz",44,"M","D22S1045",15,15
"C2_MENDEZ","Dante Méndez",38,"M","D3S1358",13,19
"C2_MENDEZ","Dante Méndez",38,"M","VWA",17,17
"C2_MENDEZ","Dante Méndez",38,"M","D16S539",11,12
"C2_MENDEZ","Dante Méndez",38,"M","D2S1338",28,21
"C2_MENDEZ","Dante Méndez",38,"M","D8S1179",19,13
"C2_MENDEZ","Dante Méndez",38,"M","D21S11",34,24
"C2_MENDEZ","Dante Méndez",38,"M","D18S51",26,10
"C2_MENDEZ","Dante Méndez",38,"M","D19S433",12,10
"C2_MENDEZ","Dante Méndez",38,"M","TH01",5,7
"C2_MENDEZ","Dante Méndez",38,"M","FGA",27,30
"C2_MENDEZ","Dante Méndez",38,"M","CSF1PO",9,15
"C2_MENDEZ","Dante Méndez",38,"M","D13S317",11,9
"C2_MENDEZ","Dante Méndez",38,"M","D7S820",13,14
"C2_MENDEZ","Dante Méndez",38,"M","D5S818",13,8
"C2_MENDEZ","Dante Méndez",38,"M","TPOX",9,13
"C2_MENDEZ","Dante Méndez",38,"M","D1S1656",16,19
"C2_MENDEZ","Dante Méndez",38,"M","D2S441",8,8
"C2_MENDEZ","Dante Méndez",38,"M","D10S1248",9,18
"C2_MENDEZ","Dante Méndez",38,"M","D12S391",17,23
"C2_MENDEZ","Dante Méndez",38,"M","D22S1045",16,11
